Size InPlaceInsertion InPlaceSelection HeapPQSort MergeSort QuickSort
1000 18 9 8 2 1
2000 62 67 2 1 1
3000 15 12 2 2 3
4000 34 23 4 1 6
5000 42 29 3 2 4
6000 60 46 4 3 4
7000 106 76 6 4 2
8000 136 112 8 3 2
9000 149 91 5 3 2
10000 169 179 7 9 2
11000 208 179 6 4 2
12000 220 175 10 4 3
13000 392 208 8 20 4
14000 413 298 13 6 4
15000 610 562 9 5 3
16000 736 416 9 5 4
17000 856 459 12 7 5
18000 631 473 13 7 5
19000 663 657 31 12 8
20000 1448 995 24 13 9
21000 2160 1648 38 122 7
22000 3054 2024 24 11 5
23000 2375 1460 50 15 8
24000 2216 1509 29 65 6
25000 2099 2212 74 37 21
26000 2441 1796 41 20 8
27000 3245 2643 60 35 21
28000 2996 1914 37 19 12
29000 3015 2088 31 23 9
30000 3593 2248 43 18 13
31000 3823 2661 39 25 14
32000 5487 2397 57 22 12
33000 7836 4684 85 33 18
34000 6277 4499 73 33 19
35000 6221 4301 90 36 21
36000 6069 3413 46 27 16
37000 5037 3843 57 25 12
38000 7631 5679 88 44 20
39000 7905 3394 58 27 13
40000 5174 3561 52 22 13
41000 6109 5634 103 52 29
42000 9820 7208 64 35 14
43000 7432 6479 65 39 14
44000 8857 5718 79 39 19
45000 11024 7084 118 61 26
46000 11702 10013 193 61 33
47000 12761 9266 124 58 28
48000 8819 5948 78 34 18
49000 12966 7207 87 50 21
50000 10782 8846 99 34 16
51000 10856 6841 88 41 18
52000 10036 7177 81 48 18
53000 10944 7947 77 71 21
54000 11419 9392 147 66 33
55000 15068 9477 84 34 19
56000 16165 9821 137 54 28
57000 16731 7628 82 36 20
58000 13906 9767 97 48 27
59000 15154 12186 133 65 22
60000 14328 9668 115 54 20
61000 15468 7069 60 36 15
62000 10588 8019 91 68 52
63000 13209 13028 283 100 46
64000 19842 13839 127 52 30
65000 18828 12113 108 51 24
66000 20700 14643 249 105 41
67000 18328 12158 164 75 40
68000 23155 18010 154 66 25
69000 24031 14132 145 61 29
70000 23125 14607 147 53 25
71000 23435 17528 207 77 30
72000 23099 17525 277 96 54
73000 21927 18561 167 62 31
74000 22039 15315 191 65 28
75000 19844 15737 205 71 34
76000 29164 21199 200 71 42
77000 24229 18988 156 61 31
78000 32738 20727 190 72 35
79000 36210 31314 339 122 57
80000 27058 17869 185 63 32
81000 25583 19022 381 178 28
82000 31338 25575 208 68 35
83000 43507 23986 261 88 45
84000 34592 22496 207 80 36
85000 48048 34206 252 76 33
86000 42067 32694 307 88 44
87000 53621 33876 389 89 72
88000 48626 28618 241 89 47
89000 36185 18005 162 57 32
90000 16659 12274 126 39 20
91000 16920 12049 153 47 30
92000 17114 13092 133 57 34
93000 22687 25375 206 60 39
94000 29792 20857 162 63 34
95000 23835 20670 172 55 35
96000 24708 15059 138 43 23
97000 28148 21666 245 66 41
98000 30901 18886 180 129 76
99000 25587 16151 160 45 26
100000 25095 20326 159 61 37
